index,label,count,number_of_blocks,topic,sentiment,stemmed_word
64,dataset,622,31,Topic 1,normal,dataset
115,set,510,31,Topic 1,normal,set
120,vaccine,886,31,Topic 1,normal,vaccin
150,incubation,610,31,Topic 2,normal,incub
195,CoV,558,31,Topic 6,normal,cov
271,domains,683,31,Topic 1,normal,domain
334,size,479,31,Topic 5,normal,size
123,transcripts,782,30,Topic 3,normal,transcript
658,reports,405,30,Topic 2,normal,report
364,March,269,29,Topic 6,normal,march
568,diagnosis,316,29,Topic 2,normal,diagnosi
978,types,461,29,Topic 4,normal,type
185,MERSCoV,571,28,Topic 6,normal,merscov
190,travel,817,28,Topic 2,normal,travel
74,scenarios,421,27,Topic 2,normal,scenario
507,networks,605,27,Topic 5,normal,network
50,dynamics,306,26,Topic 5,normal,dynam
196,state,471,26,Topic 5,normal,state
262,weeks,623,26,Topic 2,normal,week
340,process,424,26,Topic 5,normal,process
92,spike,458,25,Topic 1,normal,spike
168,primers,515,25,Topic 3,normal,primer
276,binding,419,25,Topic 1,normal,bind
279,residues,460,25,Topic 1,normal,residu
331,onset,408,25,Topic 2,normal,onset
349,protease,499,25,Topic 4,normal,proteas
59,RBD,520,24,Topic 6,normal,rbd
207,scores,352,24,Topic 1,normal,score
250,clusters,578,24,Topic 1,normal,cluster
256,admission,271,24,Topic 2,normal,admiss
473,lungs,498,24,Topic 4,normal,lung
609,mortality,336,24,Topic 2,normal,mortal
651,sensitivity,262,24,Topic 3,normal,sensit
194,syndrome,74,23,Topic 1,negative,syndrom
274,inhibitor,367,23,Topic 4,normal,inhibitor
346,development,180,23,Topic 1,normal,develop
446,temperature,413,23,Topic 3,normal,temperatur
489,strategies,231,23,Topic 2,normal,strategi
858,swabs,203,23,Topic 1,normal,swab
118,Italy,245,22,Topic 6,normal,itali
228,children,501,22,Topic 5,normal,children
255,severity,229,22,Topic 2,negative,sever
544,All,237,22,Topic 6,normal,all
595,outcomes,219,22,Topic 5,normal,outcom
613,peptides,780,22,Topic 1,normal,peptid
747,complexes,453,22,Topic 4,normal,complex
760,feature,441,22,Topic 1,normal,featur
77,exposures,393,21,Topic 2,normal,exposur
96,S1,355,21,Topic 6,normal,s1
209,difference,211,21,Topic 5,normal,differ
351,simulations,426,21,Topic 5,normal,simul
419,emergence,97,21,Topic 1,normal,emerg
519,reaction,360,21,Topic 3,normal,reaction
526,Tables,256,21,Topic 6,normal,tabl
670,area,254,21,Topic 5,normal,area
710,peak,294,21,Topic 2,normal,peak
897,concentration,381,21,Topic 4,normal,concentr
80,quarantine,414,20,Topic 2,normal,quarantin
127,tissue,304,20,Topic 4,normal,tissu
317,distances,430,20,Topic 5,normal,distanc
345,Feb,238,20,Topic 6,normal,feb
355,blood,238,20,Topic 4,normal,blood
394,influenza,290,20,Topic 5,normal,influenza
514,organisms,281,20,Topic 1,normal,organ
734,effects,421,20,Topic 5,normal,effect
1413,event,263,20,Topic 5,normal,event
36,pattern,177,19,Topic 1,normal,pattern
175,humans,299,19,Topic 1,normal,human
292,membrane,580,19,Topic 4,normal,membran
490,values,230,19,Topic 5,normal,valu
671,years,180,19,Topic 5,normal,year
117,Korea,239,18,Topic 6,normal,korea
261,surveillance,315,18,Topic 2,normal,surveil
339,government,138,18,Topic 2,normal,govern
344,Jan,230,18,Topic 6,normal,jan
368,R0,223,18,Topic 6,normal,r0
516,PCR,249,18,Topic 6,normal,pcr
546,trend,264,18,Topic 2,normal,trend
570,epitopes,663,18,Topic 1,normal,epitop
643,participants,422,18,Topic 5,normal,particip
896,assays,258,18,Topic 3,normal,assay
469,mRNA,528,17,Topic 6,normal,mrna
484,counts,255,17,Topic 2,normal,count
557,care,250,17,Topic 5,normal,care
605,range,240,17,Topic 5,normal,rang
636,evolution,208,17,Topic 1,normal,evolut
1422,characteristics,118,17,Topic 2,normal,characterist
51,selection,445,16,Topic 1,normal,select
73,SEIR,161,16,Topic 6,normal,seir
162,entry,225,16,Topic 4,normal,entri
165,amplification,181,16,Topic 3,normal,amplif
202,point,264,16,Topic 2,normal,point
408,mutants,293,16,Topic 3,normal,mutant
537,phase,432,16,Topic 4,normal,phase
708,ZIKV,641,16,Topic 6,normal,zikv
892,immunity,507,16,Topic 5,normal,immun
1013,illness,157,16,Topic 2,negative,ill
1217,curve,171,16,Topic 2,normal,curv
116,South,185,15,Topic 6,normal,south
239,amino,243,15,Topic 1,normal,amino
383,families,157,15,Topic 1,normal,famili
393,recombination,367,15,Topic 1,normal,recombin
402,fitness,465,15,Topic 5,normal,fit
424,cleavage,265,15,Topic 4,normal,cleavag
451,proportion,147,15,Topic 2,normal,proport
558,ICU,225,15,Topic 6,normal,icu
574,conditions,321,15,Topic 5,normal,condit
597,fever,148,15,Topic 2,negative,fever
1347,communities,246,15,Topic 5,normal,commun
22,libraries,199,14,Topic 1,normal,librari
134,molecule,179,14,Topic 1,normal,molecul
177,animals,178,14,Topic 4,normal,anim
318,Supplementary,228,14,Topic 6,normal,supplementari
337,stage,178,14,Topic 2,normal,stage
673,order,98,14,Topic 1,normal,order
788,products,205,14,Topic 3,normal,product
878,diversity,160,14,Topic 1,normal,divers
909,surface,333,14,Topic 4,normal,surfac
1017,prevalence,211,14,Topic 5,normal,preval
27,ratio,136,13,Topic 2,normal,ratio
41,classes,169,13,Topic 5,normal,class
98,S2,218,13,Topic 6,normal,s2
249,generation,383,13,Topic 5,normal,gener
324,delay,298,13,Topic 2,negative,delay
431,serum,150,13,Topic 4,normal,serum
435,compounds,339,13,Topic 1,normal,compound
445,variables,169,13,Topic 5,normal,variabl
509,injury,227,13,Topic 4,negative,injuri
536,database,236,13,Topic 1,normal,databas
599,trial,328,13,Topic 5,normal,trial
662,translation,345,13,Topic 3,normal,translat
849,Screening,226,13,Topic 6,normal,screen
984,variation,229,13,Topic 5,normal,variat
1020,findings,99,13,Topic 4,normal,find
61,step,116,12,Topic 3,normal,step
112,profile,141,12,Topic 1,normal,profil
140,copy,169,12,Topic 3,normal,copi
153,equations,194,12,Topic 5,normal,equat
192,NCP,280,12,Topic 6,normal,ncp
198,forecast,270,12,Topic 2,normal,forecast
233,association,204,12,Topic 1,normal,associ
284,restriction,132,12,Topic 3,negative,restrict
362,correlation,191,12,Topic 5,normal,correl
389,position,207,12,Topic 1,normal,posit
472,titers,148,12,Topic 4,normal,titer
479,culture,128,12,Topic 3,normal,cultur
494,ORF,272,12,Topic 6,normal,orf
545,prevention,88,12,Topic 2,normal,prevent
554,US,145,12,Topic 6,normal,us
898,mM,305,12,Topic 6,normal,mm
993,phenotyping,248,12,Topic 6,normal,phenotyp
1046,variants,346,12,Topic 1,normal,variant
1337,IgG,249,12,Topic 6,normal,igg
1435,publications,198,12,Topic 5,normal,public
1546,images,239,12,Topic 4,normal,imag
158,particles,385,11,Topic 4,normal,particl
173,analyses,116,11,Topic 1,normal,analys
304,energy,302,11,Topic 1,normal,energi
308,lengths,198,11,Topic 3,normal,length
321,reduction,180,11,Topic 2,normal,reduct
413,pathway,254,11,Topic 4,normal,pathway
487,behavior,220,11,Topic 5,normal,behavior
542,WHO,68,11,Topic 6,normal,who
569,history,105,11,Topic 2,normal,histori
606,fatality,106,11,Topic 2,normal,fatal
706,Zika,400,11,Topic 6,normal,zika
722,codon,258,11,Topic 1,normal,codon
725,air,96,11,Topic 2,normal,air
731,Unit,90,11,Topic 6,normal,unit
886,duration,100,11,Topic 2,normal,durat
994,probe,485,11,Topic 3,normal,probe
1087,CFR,249,11,Topic 6,normal,cfr
1171,tree,259,11,Topic 1,normal,tree
1336,IgM,155,11,Topic 6,normal,igm
1342,laboratory,74,11,Topic 3,normal,laboratori
1383,II,194,11,Topic 6,normal,ii
1443,specificity,112,11,Topic 3,normal,specif
1516,agent,281,11,Topic 5,normal,agent
1695,genotype,238,11,Topic 1,normal,genotyp
71,impact,137,10,Topic 5,normal,impact
81,compartments,143,10,Topic 2,normal,compart
113,progression,97,10,Topic 2,normal,progress
166,LAMP,159,10,Topic 6,normal,lamp
225,abundance,221,10,Topic 1,positive,abund
443,WT,229,10,Topic 6,normal,wt
475,substitution,107,10,Topic 1,normal,substitut
488,containment,104,10,Topic 2,normal,contain
555,Capacity,158,10,Topic 6,normal,capac
591,therapy,101,10,Topic 4,normal,therapi
677,sources,98,10,Topic 2,normal,sourc
726,transportation,186,10,Topic 2,normal,transport
774,min,163,10,Topic 3,normal,min
789,cytokine,182,10,Topic 4,normal,cytokin
819,signal,207,10,Topic 3,normal,signal
860,RTPCR,131,10,Topic 6,normal,rtpcr
869,situation,81,10,Topic 2,normal,situat
937,enzyme,139,10,Topic 3,normal,enzym
1001,vectors,200,10,Topic 3,normal,vector
1012,December,45,10,Topic 6,normal,decemb
1019,subject,145,10,Topic 4,normal,subject
1110,form,78,10,Topic 1,normal,form
1232,Searches,178,10,Topic 6,normal,search
1328,density,285,10,Topic 5,normal,densiti
1460,presence,125,10,Topic 3,normal,presenc
1708,person,118,10,Topic 2,normal,person
1738,location,143,10,Topic 2,normal,locat
18,coverage,144,9,Topic 1,normal,coverag
122,protection,91,9,Topic 4,positive,protect
326,movement,101,9,Topic 2,normal,movement
354,chain,132,9,Topic 1,normal,chain
372,fragments,152,9,Topic 3,normal,fragment
381,plasmids,290,9,Topic 3,normal,plasmid
392,alignments,98,9,Topic 1,normal,align
470,IFN,255,9,Topic 6,normal,ifn
522,quality,76,9,Topic 1,normal,qualiti
572,SIR,99,9,Topic 6,normal,sir
590,cough,49,9,Topic 2,normal,cough
610,Eq,232,9,Topic 6,normal,eq
614,tools,150,9,Topic 1,normal,tool
618,worker,264,9,Topic 3,normal,worker
704,CD8,110,9,Topic 6,normal,cd8
758,design,104,9,Topic 1,normal,design
794,performance,125,9,Topic 5,normal,perform
906,synthesis,116,9,Topic 3,normal,synthesi
917,Cancer,192,9,Topic 6,normal,cancer
924,MERS,110,9,Topic 6,normal,mer
965,IBV,472,9,Topic 6,normal,ibv
1015,World,22,9,Topic 6,normal,world
1085,plant,243,9,Topic 3,normal,plant
1203,load,116,9,Topic 5,normal,load
1231,review,138,9,Topic 5,normal,review
1295,school,420,9,Topic 5,normal,school
1296,closures,337,9,Topic 5,normal,closur
1431,concerns,25,9,Topic 2,negative,concern
1608,healthcare,157,9,Topic 5,normal,healthcar
1717,migration,176,9,Topic 2,normal,migrat
2294,diffusion,230,9,Topic 4,normal,diffus
33,susceptibility,90,8,Topic 5,normal,suscept
76,policies,97,8,Topic 2,normal,polici
97,subunit,79,8,Topic 1,normal,subunit
119,Iran,114,8,Topic 6,normal,iran
121,candidates,153,8,Topic 1,normal,candid
142,efficiencies,106,8,Topic 3,normal,effici
146,clones,170,8,Topic 3,normal,clone
180,Market,83,8,Topic 6,normal,market
208,questionnaire,42,8,Topic 5,normal,questionnair
236,glycoprotein,145,8,Topic 1,normal,glycoprotein
307,algorithm,148,8,Topic 1,normal,algorithm
313,similarity,91,8,Topic 1,normal,similar
325,Japan,103,8,Topic 6,normal,japan
358,IL6,167,8,Topic 6,normal,il6
373,assembly,192,8,Topic 1,normal,assembl
493,segments,146,8,Topic 1,normal,segment
547,fluorescent,196,8,Topic 4,normal,fluoresc
556,beds,132,8,Topic 2,normal,bed
560,adults,58,8,Topic 5,normal,adult
603,recovery,67,8,Topic 2,positive,recoveri
634,reference,143,8,Topic 1,normal,refer
654,forces,180,8,Topic 5,normal,forc
684,doiorg10,77,8,Topic 6,normal,doiorg10
685,kidney,129,8,Topic 4,normal,kidney
689,antigen,141,8,Topic 1,normal,antigen
759,accuracy,123,8,Topic 1,normal,accuraci
883,result,37,8,Topic 1,normal,result
908,affinity,104,8,Topic 1,positive,affin
962,experiments,160,8,Topic 4,normal,experi
966,fusion,233,8,Topic 4,normal,fusion
982,mapping,177,8,Topic 1,normal,map
996,File,186,8,Topic 6,normal,file
1014,CDC,59,8,Topic 6,normal,cdc
1072,mechanism,77,8,Topic 4,normal,mechan
1078,fraction,142,8,Topic 5,normal,fraction
1105,mobility,153,8,Topic 2,normal,mobil
1133,RdRp,213,8,Topic 6,normal,rdrp
1343,efficacy,112,8,Topic 4,normal,efficaci
1406,stress,151,8,Topic 4,negative,stress
1532,training,140,8,Topic 1,normal,train
1664,brain,231,8,Topic 4,normal,brain
1855,cohorts,120,8,Topic 5,normal,cohort
2136,lineage,146,8,Topic 1,normal,lineag
79,cost,189,7,Topic 3,normal,cost
156,increase,50,7,Topic 2,normal,increas
160,lines,102,7,Topic 4,normal,line
264,pandemic,37,7,Topic 2,normal,pandem
265,doiorg101101202003,83,7,Topic 6,normal,doiorg101101202003
298,evidence,77,7,Topic 2,normal,evid
316,mouse,135,7,Topic 4,normal,mous
322,volume,133,7,Topic 2,normal,volum
332,Ebola,77,7,Topic 6,normal,ebola
342,assumption,68,7,Topic 2,normal,assumpt
369,SI,70,7,Topic 6,normal,si
380,phage,311,7,Topic 4,normal,phage
397,resistance,141,7,Topic 3,negative,resist
401,bacteria,154,7,Topic 3,normal,bacteria
418,phosphorylation,99,7,Topic 4,normal,phosphoryl
425,novel,20,7,Topic 1,normal,novel
466,hours,49,7,Topic 4,normal,hour
483,Mainland,53,7,Topic 6,normal,mainland
508,specimens,87,7,Topic 1,normal,specimen
513,technologies,45,7,Topic 3,normal,technolog
520,minutes,60,7,Topic 4,normal,minut
530,solutions,73,7,Topic 5,normal,solut
539,importations,189,7,Topic 2,normal,import
549,neuron,192,7,Topic 4,normal,neuron
571,MHC,160,7,Topic 6,normal,mhc
633,status,152,7,Topic 2,normal,statu
637,term,61,7,Topic 5,normal,term
669,panel,111,7,Topic 2,normal,panel
698,damage,129,7,Topic 4,negative,damag
709,Seasonality,131,7,Topic 6,normal,season
732,comorbidities,152,7,Topic 2,normal,comorbid
749,modification,183,7,Topic 1,normal,modif
757,transition,174,7,Topic 5,normal,transit
856,windows,196,7,Topic 5,normal,window
882,uncertainty,102,7,Topic 2,normal,uncertainti
905,interface,107,7,Topic 1,normal,interfac
915,anxiety,111,7,Topic 4,negative,anxieti
945,classification,89,7,Topic 1,normal,classif
973,formation,113,7,Topic 4,normal,format
979,traits,116,7,Topic 1,normal,trait
1007,delivery,151,7,Topic 4,normal,deliveri
1030,liver,166,7,Topic 4,normal,liver
1173,members,76,7,Topic 1,normal,member
1233,articles,62,7,Topic 2,normal,articl
1415,residents,96,7,Topic 2,normal,resid
1501,series,79,7,Topic 2,normal,seri
1715,traffic,154,7,Topic 2,normal,traffic
1763,access,55,7,Topic 5,normal,access
2029,Africa,44,7,Topic 6,normal,africa
14,mNGS,57,6,Topic 6,normal,mng
42,matrix,61,6,Topic 5,normal,matrix
58,Sprotein,70,6,Topic 6,normal,sprotein
102,strands,113,6,Topic 3,normal,strand
105,core,81,6,Topic 1,normal,core
203,staff,105,6,Topic 2,normal,staff
213,NP,133,6,Topic 6,normal,np
242,shares,46,6,Topic 1,normal,share
245,PDB,66,6,Topic 6,normal,pdb
251,Singapore,115,6,Topic 6,normal,singapor
303,water,159,6,Topic 4,normal,water
447,humidity,107,6,Topic 2,normal,humid
461,pair,135,6,Topic 1,normal,pair
480,passage,84,6,Topic 3,normal,passag
499,nm,195,6,Topic 4,normal,nm
521,flow,89,6,Topic 4,normal,flow
575,stability,71,6,Topic 1,positive,stabil
576,ExoN,243,6,Topic 6,normal,exon
577,motifs,147,6,Topic 3,normal,motif
642,survey,72,6,Topic 5,normal,survey
645,infectiousness,114,6,Topic 2,normal,infecti
650,HIV1,117,6,Topic 6,normal,hiv1
663,ER,82,6,Topic 6,normal,er
672,management,40,6,Topic 2,normal,manag
676,household,101,6,Topic 2,normal,household
711,NTS,108,6,Topic 6,normal,nt
750,conformations,104,6,Topic 1,normal,conform
787,respondents,111,6,Topic 2,normal,respond
863,CD4,108,6,Topic 6,normal,cd4
1010,OR,74,6,Topic 6,normal,or
1018,males,51,6,Topic 5,normal,male
1025,threats,23,6,Topic 5,negative,threat
1028,epidemiologic,22,6,Topic 2,normal,epidemiolog
1092,tracing,117,6,Topic 2,normal,trace
1160,annotation,238,6,Topic 1,normal,annot
1218,mass,84,6,Topic 3,normal,mass
1224,monitoring,186,6,Topic 2,normal,monitor
1253,transcriptomics,51,6,Topic 3,normal,transcriptom
1269,mL,36,6,Topic 6,normal,ml
1312,paper,94,6,Topic 2,normal,paper
1357,limit,65,6,Topic 5,negative,limit
1433,reservoir,115,6,Topic 5,normal,reservoir
1525,loss,206,6,Topic 4,negative,loss
1576,work,36,6,Topic 5,positive,work
1648,platform,27,6,Topic 3,normal,platform
1752,centers,40,6,Topic 2,normal,center
1864,challenge,37,6,Topic 4,normal,challeng
1879,coefficient,60,6,Topic 2,normal,coeffici
2164,women,126,6,Topic 2,normal,women
2208,extracts,82,6,Topic 3,normal,extract
2303,adaptation,85,6,Topic 1,normal,adapt
35,scaling,71,5,Topic 5,normal,scale
93,trimers,47,5,Topic 4,normal,trimer
95,CTD,283,5,Topic 6,normal,ctd
104,bonds,69,5,Topic 1,normal,bond
129,miRNAs,204,5,Topic 6,normal,mirna
137,base,68,5,Topic 3,normal,base
172,pangolins,80,5,Topic 1,normal,pangolin
188,identities,56,5,Topic 1,normal,ident
224,microbiome,69,5,Topic 1,normal,microbiom
241,GenBank,76,5,Topic 6,normal,genbank
268,RaTG13,96,5,Topic 6,normal,ratg13
272,homology,46,5,Topic 1,normal,homolog
290,ion,110,5,Topic 4,normal,ion
327,relationship,76,5,Topic 5,normal,relationship
359,CRP,95,5,Topic 6,normal,crp
399,RNase,250,5,Topic 6,normal,rnase
428,potential,14,5,Topic 1,normal,potenti
477,pi,71,5,Topic 2,normal,pi
495,virion,69,5,Topic 4,normal,virion
504,researches,47,5,Topic 2,normal,research
523,identification,93,5,Topic 1,normal,identif
543,Rt,70,5,Topic 6,normal,rt
565,dates,50,5,Topic 2,normal,date
573,equilibrium,150,5,Topic 5,normal,equilibrium
655,polyprotein,78,5,Topic 3,normal,polyprotein
674,categories,148,5,Topic 1,normal,categori
686,failure,92,5,Topic 5,negative,failur
724,Hand,180,5,Topic 6,normal,hand
728,usage,91,5,Topic 1,normal,usag
735,dose,49,5,Topic 4,normal,dose
738,France,61,5,Topic 6,normal,franc
786,Shanghai,109,5,Topic 6,normal,shanghai
802,body,36,5,Topic 3,normal,bodi
809,supplementation,40,5,Topic 4,normal,supplement
846,protocol,54,5,Topic 3,normal,protocol
854,dengue,138,5,Topic 1,normal,dengu
884,UK,50,5,Topic 6,normal,uk
894,RTqPCR,39,5,Topic 6,normal,rtqpcr
895,RTLAMP,70,5,Topic 6,normal,rtlamp
943,nucleotides,75,5,Topic 3,normal,nucleotid
975,RNAseq,65,5,Topic 6,normal,rnaseq
1074,ribosomes,145,5,Topic 3,normal,ribosom
1101,mosquito,154,5,Topic 3,normal,mosquito
1103,metapopulation,62,5,Topic 5,normal,metapopul
1130,polymerase,162,5,Topic 3,normal,polymeras
1168,mixes,67,5,Topic 6,normal,mix
1174,metagenomics,56,5,Topic 1,normal,metagenom
1180,airway,89,5,Topic 4,normal,airway
1204,background,76,5,Topic 3,normal,background
1205,sex,90,5,Topic 5,normal,sex
1213,predictor,63,5,Topic 5,normal,predictor
1215,errors,82,5,Topic 1,negative,error
1286,pocket,112,5,Topic 1,normal,pocket
1310,IAV,138,5,Topic 6,normal,iav
1341,Chest,35,5,Topic 6,normal,chest
1362,tract,42,5,Topic 4,normal,tract
1385,HCoV19,65,5,Topic 6,normal,hcov19
1439,diarrhea,68,5,Topic 3,normal,diarrhea
1482,Authorization,15,5,Topic 6,normal,author
1531,input,74,5,Topic 1,normal,input
1561,extinction,31,5,Topic 5,normal,extinct
1627,clade,82,5,Topic 1,normal,clade
1703,service,32,5,Topic 5,normal,servic
1743,effort,19,5,Topic 2,normal,effort
1792,substrate,88,5,Topic 4,normal,substrat
1810,CD,51,5,Topic 6,normal,cd
1872,plasma,80,5,Topic 4,normal,plasma
1877,routes,52,5,Topic 2,normal,rout
1921,lockdown,77,5,Topic 2,normal,lockdown
2030,stool,57,5,Topic 1,normal,stool
2037,throat,43,5,Topic 5,normal,throat
2499,tumor,148,5,Topic 4,normal,tumor
6,Illumina,14,4,Topic 6,normal,illumina
24,NCBI,63,4,Topic 6,normal,ncbi
63,branch,151,4,Topic 1,normal,branch
131,administration,23,4,Topic 4,normal,administr
174,Betacoronavirus,38,4,Topic 6,normal,betacoronaviru
214,ARI,57,4,Topic 6,normal,ari
232,RSV,164,4,Topic 6,normal,rsv
244,template,58,4,Topic 3,normal,templat
260,subpopulation,86,4,Topic 2,normal,subpopul
287,cDNAs,30,4,Topic 6,normal,cdna
291,channels,199,4,Topic 4,normal,channel
315,lncRNAs,101,4,Topic 6,normal,lncrna
328,approximations,86,4,Topic 2,normal,approxim
333,EVD,63,4,Topic 6,normal,evd
336,RF,73,4,Topic 6,normal,rf
350,mode,77,4,Topic 1,normal,mode
376,pools,63,4,Topic 3,normal,pool
388,insert,44,4,Topic 1,normal,insert
390,programs,59,4,Topic 1,normal,program
396,districts,35,4,Topic 5,normal,district
429,TMPRSS2,48,4,Topic 6,normal,tmprss2
433,properties,55,4,Topic 1,normal,properti
444,hpi,122,4,Topic 4,normal,hpi
449,speed,97,4,Topic 5,normal,speed
450,HIV,113,4,Topic 6,normal,hiv
459,frames,153,4,Topic 1,normal,frame
505,nodes,123,4,Topic 1,normal,node
515,MinION,48,4,Topic 6,normal,minion
531,procedure,50,4,Topic 5,normal,procedur
552,chambers,29,4,Topic 6,normal,chamber
564,Commission,11,4,Topic 6,normal,commiss
566,average,32,4,Topic 2,normal,averag
581,reversion,40,4,Topic 3,normal,revers
592,pressure,62,4,Topic 1,normal,pressur
596,randomization,28,4,Topic 1,normal,random
617,bees,297,4,Topic 3,normal,bee
632,attack,56,4,Topic 2,negative,attack
639,HCWs,158,4,Topic 6,normal,hcw
652,frameshifting,150,4,Topic 3,normal,frameshift
675,genders,38,4,Topic 6,normal,gender
679,markers,70,4,Topic 4,normal,marker
700,biomarker,43,4,Topic 4,normal,biomark
712,qPCR,78,4,Topic 6,normal,qpcr
727,airport,158,4,Topic 2,normal,airport
730,CA,186,4,Topic 6,normal,ca
739,observation,31,4,Topic 5,normal,observ
741,escape,30,4,Topic 4,normal,escap
820,CM,58,4,Topic 6,normal,cm
855,ILI,76,4,Topic 6,normal,ili
887,course,50,4,Topic 2,normal,cours
933,promoter,113,4,Topic 3,positive,promot
934,cap,118,4,Topic 3,normal,cap
935,MTase,109,4,Topic 6,normal,mtase
950,column,21,4,Topic 1,normal,column
959,ability,33,4,Topic 4,normal,abil
981,QTL,143,4,Topic 6,normal,qtl
998,constructs,70,4,Topic 3,normal,construct
