index,label,count,number_of_blocks,topic,sentiment,stemmed_word
328,Human,299,19,Others,normal,human
497,patterns,177,19,Topic 1,normal,pattern
716,membrane,580,19,Topic 2,normal,membran
871,values,230,19,Topic 1,normal,valu
94,Jan,230,18,Others,normal,jan
149,epitopes,663,18,Topic 5,normal,epitop
191,participants,422,18,Topic 4,normal,particip
390,R0,223,18,Others,normal,r0
419,trend,264,18,Topic 3,normal,trend
432,Korea,239,18,Others,normal,korea
438,surveillance,315,18,Topic 1,normal,surveil
460,government,138,18,Topic 3,normal,govern
486,PCR,249,18,Others,normal,pcr
726,assays,258,18,Topic 2,normal,assay
25,characteristics,118,17,Topic 4,normal,characterist
246,care,250,17,Topic 4,normal,care
504,range,240,17,Topic 1,normal,rang
772,evolution,208,17,Topic 1,normal,evolut
884,count,255,17,Topic 4,normal,count
984,mRNA,528,17,Others,normal,mrna
96,SEIR,161,16,Others,normal,seir
162,ZIKV,641,16,Others,normal,zikv
326,mutant,293,16,Topic 2,normal,mutant
371,illness,157,16,Topic 4,negative,ill
389,point,264,16,Topic 3,normal,point
415,selection,445,16,Topic 1,normal,select
436,phase,432,16,Topic 2,normal,phase
630,curve,171,16,Topic 1,normal,curv
679,amplification,181,16,Topic 2,normal,amplif
687,immunity,507,16,Topic 1,normal,immun
732,entry,225,16,Topic 5,normal,entri
35,ICU,225,15,Others,normal,icu
188,family,157,15,Topic 4,normal,famili
219,cleavage,265,15,Topic 2,normal,cleavag
236,recombination,367,15,Topic 5,normal,recombin
290,amino,243,15,Topic 5,normal,amino
333,communities,246,15,Others,normal,commun
334,South,185,15,Others,normal,south
493,conditions,321,15,Topic 2,normal,condit
529,fitness,465,15,Topic 1,normal,fit
623,fever,148,15,Topic 4,negative,fever
1277,proportion,147,15,Topic 3,normal,proport
109,Supplementary,228,14,Others,normal,supplementari
147,molecules,179,14,Topic 5,normal,molecul
331,prevalence,211,14,Topic 1,normal,preval
425,stages,178,14,Others,normal,stage
644,order,98,14,Topic 1,normal,order
777,libraries,199,14,Others,normal,librari
839,production,205,14,Topic 2,normal,product
850,animals,178,14,Topic 2,normal,anim
1023,diversity,160,14,Topic 2,normal,divers
1096,surface,333,14,Topic 2,normal,surfac
30,databases,236,13,Others,normal,databas
110,S2,218,13,Others,normal,s2
121,screening,226,13,Topic 3,normal,screen
176,findings,99,13,Topic 4,normal,find
363,serum,150,13,Topic 4,normal,serum
449,injury,227,13,Topic 4,negative,injuri
574,generation,383,13,Topic 1,normal,gener
581,compounds,339,13,Others,normal,compound
625,trial,328,13,Others,normal,trial
671,class,169,13,Topic 5,normal,class
762,variables,169,13,Topic 4,normal,variabl
978,delay,298,13,Topic 3,negative,delay
1107,variation,229,13,Topic 1,normal,variat
1233,ratios,136,13,Others,normal,ratio
1398,translation,345,13,Topic 2,normal,translat
10,IgG,249,12,Others,normal,igg
31,publications,198,12,Others,normal,public
194,profile,141,12,Others,normal,profil
210,titer,148,12,Others,normal,titer
215,US,145,12,Others,normal,us
232,variants,346,12,Topic 2,normal,variant
448,prevention,88,12,Topic 3,normal,prevent
496,correlation,191,12,Topic 2,normal,correl
609,positions,207,12,Others,normal,posit
636,NCP,280,12,Others,normal,ncp
667,copies,169,12,Others,normal,copi
727,step,116,12,Topic 1,normal,step
752,image,239,12,Others,normal,imag
796,association,204,12,Topic 2,normal,associ
925,ORFs,272,12,Others,normal,orf
1074,equations,194,12,Others,normal,equat
1116,phenotypes,248,12,Others,normal,phenotyp
1135,forecasting,270,12,Others,normal,forecast
1173,mm,305,12,Topic 2,normal,mm
1189,cultures,128,12,Others,normal,cultur
1665,restrictions,132,12,Others,normal,restrict
9,IgM,155,11,Others,normal,igm
36,CFR,249,11,Others,normal,cfr
62,history,105,11,Topic 4,normal,histori
84,codons,258,11,Others,normal,codon
161,Zika,400,11,Others,normal,zika
186,trees,259,11,Others,normal,tree
267,reduction,180,11,Topic 1,normal,reduct
332,genotypes,238,11,Others,normal,genotyp
475,duration,100,11,Topic 1,normal,durat
499,behavior,220,11,Topic 1,normal,behavior
532,pathways,254,11,Topic 2,normal,pathway
587,II,194,11,Others,normal,ii
672,agent,281,11,Others,normal,agent
702,fatality,106,11,Others,normal,fatal
725,specificity,112,11,Topic 4,normal,specif
729,laboratories,74,11,Others,normal,laboratori
743,energy,302,11,Topic 5,normal,energi
749,particles,385,11,Topic 2,normal,particl
795,analyses,116,11,Topic 1,normal,analys
870,Unit,90,11,Others,normal,unit
948,air,96,11,Others,normal,air
1075,WHO,68,11,Others,normal,who
1103,probes,485,11,Others,normal,probe
1200,lengths,198,11,Others,normal,length
29,searches,178,10,Others,normal,search
97,presence,125,10,Topic 2,normal,presenc
158,sources,98,10,Others,normal,sourc
224,vector,200,10,Topic 2,normal,vector
234,therapy,101,10,Others,normal,therapi
244,Capacity,158,10,Others,normal,capac
310,impact,137,10,Topic 1,normal,impact
315,compartments,143,10,Others,normal,compart
376,location,143,10,Topic 1,normal,locat
505,containment,104,10,Others,normal,contain
512,persons,118,10,Others,normal,person
527,substitution,107,10,Others,normal,substitut
538,enzymes,139,10,Others,normal,enzym
582,form,78,10,Topic 2,normal,form
596,density,285,10,Topic 1,normal,densiti
674,LAMP,159,10,Others,normal,lamp
713,transporters,186,10,Others,normal,transport
736,progression,97,10,Others,normal,progress
747,December,45,10,Others,normal,decemb
798,subjects,145,10,Others,normal,subject
806,cytokines,182,10,Others,normal,cytokin
987,signals,207,10,Others,normal,signal
1024,abundance,221,10,Topic 2,positive,abund
1047,situation,81,10,Topic 3,normal,situat
1056,WT,229,10,Others,normal,wt
1392,RTPCR,131,10,Others,normal,rtpcr
2153,min,163,10,Topic 2,normal,min
27,review,138,9,Others,normal,review
233,Cancer,192,9,Others,normal,cancer
243,plasmids,290,9,Others,normal,plasmid
424,migration,176,9,Others,normal,migrat
440,chain,132,9,Topic 5,normal,chain
474,concern,25,9,Others,negative,concern
490,SIR,99,9,Others,normal,sir
554,MERS,110,9,Others,normal,mer
618,cough,49,9,Others,normal,cough
698,workers,264,9,Others,normal,worker
700,healthcare,157,9,Topic 1,normal,healthcar
703,closure,337,9,Others,normal,closur
711,CD8,110,9,Others,normal,cd8
714,diffusion,230,9,Others,normal,diffus
722,tools,150,9,Others,normal,tool
759,alignments,98,9,Others,normal,align
768,protection,91,9,Topic 2,positive,protect
797,IFN,255,9,Others,normal,ifn
900,quality,76,9,Topic 4,normal,qualiti
938,coverage,144,9,Topic 1,normal,coverag
976,movement,101,9,Others,normal,movement
1071,loads,116,9,Others,normal,load
1094,fragmentation,152,9,Others,normal,fragment
1174,design,104,9,Topic 5,normal,design
1417,Eq,232,9,Others,normal,eq
1442,School,420,9,Others,normal,school
1453,performance,125,9,Topic 1,normal,perform
1463,World,22,9,Others,normal,world
1657,plant,243,9,Others,normal,plant
1782,synthesis,116,9,Topic 2,normal,synthesi
1798,IBV,472,9,Others,normal,ibv
59,market,83,8,Others,normal,market
107,affinity,104,8,Topic 5,positive,affin
115,subunits,79,8,Others,normal,subunit
128,fraction,142,8,Topic 1,normal,fraction
212,force,180,8,Others,normal,forc
245,beds,132,8,Others,normal,bed
248,adults,58,8,Others,normal,adult
312,policies,97,8,Others,normal,polici
400,kidney,129,8,Others,normal,kidney
410,stress,151,8,Topic 2,negative,stress
445,questionnaire,42,8,Others,normal,questionnair
459,efficacy,112,8,Others,normal,efficaci
473,CDC,59,8,Others,normal,cdc
484,recovery,67,8,Topic 4,positive,recoveri
509,result,37,8,Topic 1,normal,result
511,doiorg10,77,8,Others,normal,doiorg10
522,clones,170,8,Others,normal,clone
555,glycoprotein,145,8,Others,normal,glycoprotein
575,cohorts,120,8,Others,normal,cohort
597,maps,177,8,Others,normal,map
599,fusion,233,8,Topic 2,normal,fusion
653,accuracy,123,8,Topic 1,normal,accuraci
654,training,140,8,Topic 1,normal,train
737,Iran,114,8,Others,normal,iran
773,experiments,160,8,Topic 2,normal,experi
790,algorithms,148,8,Others,normal,algorithm
808,IL6,167,8,Others,normal,il6
824,assembly,192,8,Topic 2,normal,assembl
827,segment,146,8,Others,normal,segment
880,RdRp,213,8,Others,normal,rdrp
890,references,143,8,Others,normal,refer
913,antigens,141,8,Others,normal,antigen
999,Japan,103,8,Others,normal,japan
1033,fluorescence,196,8,Topic 2,normal,fluoresc
1049,similarity,91,8,Topic 5,normal,similar
1065,Files,186,8,Others,normal,file
1093,candidates,153,8,Others,normal,candid
1379,efficiencies,106,8,Others,normal,effici
1447,mobility,153,8,Others,normal,mobil
1621,mechanism,77,8,Topic 2,normal,mechan
1813,susceptibles,90,8,Others,normal,suscept
1925,lineages,146,8,Others,normal,lineag
2127,brain,231,8,Others,normal,brain
46,transition,174,7,Others,normal,transit
61,series,79,7,Topic 1,normal,seri
77,importation,189,7,Others,normal,import
83,modifications,183,7,Others,normal,modif
93,traffic,154,7,Others,normal,traffic
189,members,76,7,Topic 4,normal,member
276,lines,102,7,Topic 2,normal,line
313,cost,189,7,Others,normal,cost
335,Africa,44,7,Others,normal,africa
353,delivery,151,7,Others,normal,deliveri
384,accession,55,7,Others,normal,access
398,articles,62,7,Others,normal,articl
406,term,61,7,Topic 1,normal,term
414,window,196,7,Topic 1,normal,window
461,novel,20,7,Topic 4,normal,novel
508,uncertainty,102,7,Others,normal,uncertainti
552,doiorg101101202003,83,7,Others,normal,doiorg101101202003
629,mainland,53,7,Topic 3,normal,mainland
659,specimens,87,7,Others,normal,specimen
668,resistance,141,7,Topic 2,negative,resist
678,minutes,60,7,Topic 2,normal,minut
696,interface,107,7,Others,normal,interfac
774,phage,311,7,Topic 2,normal,phage
816,formation,113,7,Topic 2,normal,format
820,bacteria,154,7,Topic 2,normal,bacteria
852,hours,49,7,Topic 2,normal,hour
868,classifications,89,7,Others,normal,classif
872,comorbidities,152,7,Others,normal,comorbid
898,technology,45,7,Others,normal,technolog
914,MHC,160,7,Others,normal,mhc
958,traits,116,7,Others,normal,trait
965,solution,73,7,Topic 2,normal,solut
966,Si,70,7,Others,normal,si
998,increase,50,7,Topic 2,normal,increas
1080,residents,96,7,Others,normal,resid
1081,Anxiety,111,7,Others,normal,anxieti
1106,pandemic,37,7,Topic 1,normal,pandem
1114,seasons,131,7,Others,normal,season
1118,status,152,7,Topic 1,normal,statu
1160,volume,133,7,Topic 1,normal,volum
1167,phosphorylation,99,7,Others,normal,phosphoryl
1185,liver,166,7,Topic 4,normal,liver
1205,mouse,135,7,Topic 2,normal,mous
1285,Ebola,77,7,Others,normal,ebola
1349,neurons,192,7,Others,normal,neuron
1397,evidence,77,7,Topic 2,normal,evid
1510,damage,129,7,Others,negative,damag
1641,assumption,68,7,Others,normal,assumpt
1731,Panel,111,7,Others,normal,panel
2,tracing,117,6,Topic 3,normal,trace
38,OR,74,6,Others,normal,or
85,losses,206,6,Others,negative,loss
104,conformation,104,6,Others,normal,conform
156,household,101,6,Others,normal,household
193,infectiousness,114,6,Others,normal,infecti
227,coefficient,60,6,Others,normal,coeffici
249,reservoir,115,6,Others,normal,reservoir
264,male,51,6,Topic 4,normal,male
284,share,46,6,Others,normal,share
339,water,159,6,Topic 2,normal,water
354,women,126,6,Others,normal,women
381,nM,195,6,Others,normal,nm
386,limit,65,6,Topic 1,negative,limit
411,ER,82,6,Others,normal,er
423,flow,89,6,Topic 2,normal,flow
441,staff,105,6,Others,normal,staff
476,management,40,6,Others,normal,manag
494,stability,71,6,Others,positive,stabil
498,humidity,107,6,Others,normal,humid
525,ExoN,243,6,Others,normal,exon
526,motifs,147,6,Others,normal,motif
535,passage,84,6,Others,normal,passag
540,PDB,66,6,Others,normal,pdb
542,adaptation,85,6,Others,normal,adapt
544,HIV1,117,6,Others,normal,hiv1
562,core,81,6,Topic 2,normal,core
569,pairs,135,6,Topic 1,normal,pair
608,annotation,238,6,Others,normal,annot
643,Matrix,61,6,Others,normal,matrix
683,papers,94,6,Others,normal,paper
688,NP,133,6,Others,normal,np
763,threat,23,6,Others,negative,threat
767,platform,27,6,Others,normal,platform
769,challenge,37,6,Others,normal,challeng
801,center,40,6,Topic 4,normal,center
804,CD4,108,6,Others,normal,cd4
897,mNGS,57,6,Others,normal,mng
924,transcriptome,51,6,Others,normal,transcriptom
990,survey,72,6,Others,normal,survey
1015,extraction,82,6,Others,normal,extract
1077,Singapore,115,6,Others,normal,singapor
1083,Respondents,111,6,Others,normal,respond
1088,mass,84,6,Topic 2,normal,mass
1098,mL,36,6,Others,normal,ml
1451,strand,113,6,Others,normal,strand
1479,work,36,6,Topic 1,positive,work
1556,Sprotein,70,6,Others,normal,sprotein
1785,nt,108,6,Topic 4,normal,nt
2045,monitoring,186,6,Topic 1,normal,monitor
2165,epidemiology,22,6,Others,normal,epidemiolog
51,bonds,69,5,Others,normal,bond
91,clades,82,5,Others,normal,clade
103,trimer,47,5,Others,normal,trimer
174,potential,14,5,Topic 1,normal,potenti
181,Dengue,138,5,Others,normal,dengu
209,ions,110,5,Others,normal,ion
221,substrate,88,5,Others,normal,substrat
225,routes,52,5,Others,normal,rout
263,sexes,90,5,Others,normal,sex
282,RaTG13,96,5,Others,normal,ratg13
286,pangolins,80,5,Others,normal,pangolin
288,identity,56,5,Topic 5,normal,ident
291,homology,46,5,Others,normal,homolog
323,CTD,283,5,Others,normal,ctd
337,stool,57,5,Others,normal,stool
364,RTqPCR,39,5,Others,normal,rtqpcr
372,services,32,5,Others,normal,servic
373,UK,50,5,Others,normal,uk
396,researcher,47,5,Others,normal,research
431,tract,42,5,Others,normal,tract
434,France,61,5,Others,normal,franc
477,throat,43,5,Others,normal,throat
492,equilibrium,150,5,Others,normal,equilibrium
560,microbiome,69,5,Others,normal,microbiom
568,relationship,76,5,Topic 1,normal,relationship
571,airways,89,5,Others,normal,airway
593,plasma,80,5,Others,normal,plasma
652,input,74,5,Topic 1,normal,input
680,mix,67,5,Others,normal,mix
690,polymerase,162,5,Topic 2,normal,polymeras
705,RT,70,5,Others,normal,rt
706,RNase,250,5,Others,normal,rnase
728,RTLAMP,70,5,Others,normal,rtlamp
730,diarrhea,68,5,Others,normal,diarrhea
740,HCoV19,65,5,Others,normal,hcov19
748,virion,69,5,Others,normal,virion
760,failure,92,5,Others,negative,failur
817,CD,51,5,Others,normal,cd
834,GenBank,76,5,Others,normal,genbank
876,dose,49,5,Others,normal,dose
901,protocol,54,5,Topic 2,normal,protocol
919,body,36,5,Topic 4,normal,bodi
933,RNAseq,65,5,Others,normal,rnaseq
936,error,82,5,Topic 2,negative,error
947,Hand,180,5,Others,normal,hand
952,IAV,138,5,Others,normal,iav
973,metapopulation,62,5,Others,normal,metapopul
1062,polyproteins,78,5,Others,normal,polyprotein
1067,Supplemental,40,5,Others,normal,supplement
1079,Shanghai,109,5,Others,normal,shanghai
1156,chest,35,5,Topic 4,normal,chest
1211,nucleotides,75,5,Others,normal,nucleotid
1246,pi,71,5,Others,normal,pi
1260,dates,50,5,Others,normal,date
1268,metagenome,56,5,Others,normal,metagenom
1360,lockdown,77,5,Others,normal,lockdown
1368,Base,68,5,Others,normal,base
1390,extinction,31,5,Others,normal,extinct
1403,ribosomes,145,5,Others,normal,ribosom
1414,categories,148,5,Others,normal,categori
1438,usage,91,5,Others,normal,usag
1505,effort,19,5,Others,normal,effort
1542,mosquitoes,154,5,Others,normal,mosquito
1547,identification,93,5,Topic 3,normal,identif
1581,tumor,148,5,Others,normal,tumor
1739,authorities,15,5,Others,normal,author
1806,CRP,95,5,Others,normal,crp
1808,predictors,63,5,Others,normal,predictor
1810,scaling,71,5,Others,normal,scale
1822,pockets,112,5,Others,normal,pocket
2155,miRNAs,204,5,Others,normal,mirna
2412,background,76,5,Topic 2,normal,background
43,regulation,79,4,Others,normal,regul
112,resolution,73,4,Topic 5,normal,resolut
122,programs,59,4,Others,normal,program
140,biomarkers,43,4,Others,normal,biomark
155,genders,38,4,Others,normal,gender
165,lncRNA,101,4,Others,normal,lncrna
166,Vero,44,4,Others,normal,vero
167,majority,29,4,Topic 4,normal,major
187,nodes,123,4,Others,normal,node
190,HCWs,158,4,Others,normal,hcw
237,promoter,113,4,Others,positive,promot
252,Approximation,86,4,Others,normal,approxim
253,branching,151,4,Others,normal,branch
303,GFP,189,4,Others,normal,gfp
350,RV,118,4,Others,normal,rv
404,initiation,53,4,Others,normal,initi
435,Germany,27,4,Others,normal,germani
456,awareness,111,4,Others,normal,awar
458,attack,56,4,Others,negative,attack
513,degradation,66,4,Others,negative,degrad
533,reversion,40,4,Others,normal,revers
561,gut,85,4,Others,normal,gut
570,COPD,148,4,Others,normal,copd
579,pro,74,4,Topic 5,normal,pro
601,Shenzhen,92,4,Others,normal,shenzhen
602,Baidu,30,4,Others,normal,baidu
610,rRNA,128,4,Others,normal,rrna
612,mature,87,4,Others,positive,matur
619,pressure,62,4,Others,normal,pressur
622,randomization,28,4,Others,normal,random
638,mode,77,4,Others,normal,mode
645,observation,31,4,Topic 1,normal,observ
647,average,32,4,Topic 1,normal,averag
666,filters,60,4,Others,normal,filter
693,extension,64,4,Others,normal,extens
697,CA,186,4,Others,normal,ca
718,channel,199,4,Others,normal,channel
721,COV2,10,4,Others,normal,cov2
757,insert,44,4,Others,normal,insert
765,MTase,109,4,Others,normal,mtase
766,attenuation,84,4,Others,normal,attenu
793,RSV,164,4,Others,normal,rsv
803,Mar,45,4,Others,normal,mar
809,monocytes,78,4,Others,normal,monocyt
844,localization,172,4,Others,normal,local
903,ARIs,57,4,Others,normal,ari
911,constructs,70,4,Others,normal,construct
912,docking,61,4,Others,normal,dock
915,allele,82,4,Others,normal,allel
949,airport,158,4,Others,normal,airport
953,pools,63,4,Others,normal,pool
954,inactivation,57,4,Others,normal,inactiv
979,Administration,23,4,Others,normal,administr
1027,LPS,195,4,Others,normal,lp
1053,QTL,143,4,Others,normal,qtl
1063,software,21,4,Topic 2,normal,softwar
1112,winter,111,4,Others,normal,winter
1139,Betacoronavirus,38,4,Others,normal,betacoronaviru
1159,course,50,4,Topic 1,normal,cours
1177,decay,66,4,Others,negative,decay
1213,CM,58,4,Others,normal,cm
1238,EVD,63,4,Others,normal,evd
1247,men,72,4,Others,normal,men
1254,EBOV,98,4,Others,normal,ebov
1259,Commission,11,4,Others,normal,commiss
1279,media,69,4,Topic 2,normal,media
1288,Bees,297,4,Others,normal,bee
1293,survival,25,4,Others,positive,surviv
1298,amount,28,4,Others,normal,amount
1322,districts,35,4,Others,normal,district
1357,abnormities,47,4,Others,normal,abnorm
1358,markers,70,4,Others,normal,marker
1363,Variance,43,4,Others,normal,varianc
1369,termination,110,4,Others,normal,termin
1387,HA,221,4,Others,normal,ha
1399,frames,153,4,Others,normal,frame
1401,UTRs,56,4,Others,normal,utr
1416,subpopulation,86,4,Others,normal,subpopul
1422,combination,55,4,Topic 2,normal,combin
1450,siRNA,244,4,Others,normal,sirna
1458,environment,21,4,Others,normal,environ
1480,depression,54,4,Others,negative,depress
1499,tolerance,75,4,Others,normal,toler
1500,USA,26,4,Others,normal,usa
1512,lesion,128,4,Others,normal,lesion
1526,splicing,72,4,Others,normal,splice
1552,genus,58,4,Others,normal,genu
1559,template,58,4,Others,normal,templat
1568,slices,84,4,Others,normal,slice
1583,islands,28,4,Others,normal,island
1595,workflow,52,4,Others,normal,workflow
1602,students,100,4,Others,normal,student
1646,role,45,4,Topic 2,normal,role
1650,likelihood,17,4,Topic 1,normal,likelihood
1741,Illumina,14,4,Others,normal,illumina
1742,cDNA,30,4,Others,normal,cdna
1762,speed,97,4,Others,normal,speed
1764,HIV,113,4,Others,normal,hiv
1767,RF,73,4,Others,normal,rf
1790,properties,55,4,Others,normal,properti
1793,Nanoparticles,279,4,Others,normal,nanoparticl
1887,column,21,4,Others,normal,column
1924,amplicons,67,4,Others,normal,amplicon
1962,cycle,277,4,Topic 2,normal,cycl
1990,MinION,48,4,Others,normal,minion
2024,application,32,4,Others,normal,applic
2060,tropism,32,4,Others,normal,tropism
2157,signature,120,4,Others,normal,signatur
2161,ILI,76,4,Others,normal,ili
